id,description,description_en,category,SpriteReference,CubemapReference,Narrator,NarratorLength,NarratorTranslation,NarratorTranslationEs,phoneCategoryIt,phoneCategoryEn,phoneCategoryEs
19,Una bella stanza con parete verde chiaro. Mattone con marmorizzazione. Una porta tra uno specchio rettangolare ed uno ovale.,A beautiful room with a light green wall. Brick with marbling. There's a door between a rectangular and an oval mirror.,InteriorRegal,19_sprite,19_HDR,"Maschere, in questa scena siete in una bella stanza, una stanza da signori.",9.1,"Ok, you are in a nice room, a gentleman's room. In the center you see an object.",,in una camera,in a room,en una habitación
21,Cornicioni in varie tonalità di verde. Soffitto blu-indaco e pareti rosse.,"A room with cornices in shades of green, blue ceiling and red walls.",InteriorRegal,21_sprite,21_HDR,"Eccoci. Guardate che bella scena, che colori blu e rossi.",10.7,"Here we are. Look at this beautiful scene, what blue and red colors. So, in the middle of the scene is an object...",,in un atrio,in a hall,en una sala
22,Un ampio androne con soffitto a volta conduce ad un cortile e ad un altro passaggio soffuso di luce rosata.,"A large hall with a vaulted ceiling leads to a courtyard, and another passage washed in pink light.",UrbanAndVillageScenery,22_sprite,22_HDR,Eccoci. Che bell'edificio. Osservatelo.,10.7,"Here we are. What a beautiful building. Look at it. And look at the center is an object, ok?",,in un androne,in a hall,en una sala
23,Una grande quantità di scheletri uno sopra all'altro creano una macabra porta.,A macabre door made out of a large quantity of skeletons.,Sinister,23_sprite,23_HDR,Eccoci. Guardiamoci intorno - una scena piuttosto sinistra.,10.7,Here we are. Let's look around - a rather sinister scene. In the middle you see an object,,nelle cripte,in a crypt,en una cripta
26,"Ingresso al circo con struttura che sostiene la tabella con la scritta ""circo"". Appesi alla struttura anche uno stendardo col volto di un clown e un cartello con la scritta ""questa sera ore 21"".","A circus entrance. A sign that reads ""circus"" is supported by a structute. A banner with a clown's face also hangs from it, and a sign with the words ""this evening at 9:00 p.m.""",Festive,26_sprite,26_HDR,"Allora, siamo al circo!",7.3,"So we are at the circus, and in the middle of the scene there is an object, ok?",,al circo,at the circus,en el circo
29,Sarcofagi e croci disseminati in un prato circondato da cipressi.,"Winter, dawn. Tombs and crosses are scattered in a meadow, surrounded by cypress trees.",Nighttime,29_sprite,29_HDR,Eccoci. Guardiamoci intorno - una scena piuttosto sinistra.,10.7,Here we are. Let's look around - a rather sinister scene. In the middle you see an object,,al cimitero,at the cemetery,en el cementerio
30,"Sala con fuga di archi moreschi, sostenuti da colonne a tortiglione. Pareti dipinte con motivi floreali stilizzati e geometrici.","A room with a series of Moorish arches, supported by twisted columns. The walls are painted with floral and geometric patterns.",InteriorRegal,30_sprite,30_HDR,"bene, la scena è ambientata in un posto molto speciale, con decorazioni orientalizzanti... insomma interpretate voi.",10.7,"Well, the scene is set in a very special place, with oriental decorations... you can interpret that. In the middle, an object...",,in un atrio,in a hall,en una sala
34,Sala con tre finestroni ad arco protetti da tendaggi. Pavimento a rombi rossi e blu.,A room with three arched windows and curtains. The floor has red and blue diamonds.,InteriorRegal,34_sprite,34_HDR,"Maschere, in questa scena siete in una bella stanza, una stanza da signori.",9.1,"Ok, you are in a nice room, a gentleman's room. In the center you see an object.",,in una sala,in a room,en una habitación
39,"Nella parete di fondo della sala, dipinta in azzurro, si aprono due porte schermate da tendaggi blu. Al centro della stessa parete, gli stalli dei consiglieri sono posti su una pedana.",A regal room with two light blue doors shielded by blue curtains.,InteriorRegal,39_sprite,39_HDR,"Maschere, in questa scena siete in una bella stanza, una stanza da signori.",9.1,"Ok, you are in a nice room, a gentleman's room. In the center you see an object.",,in una villa,in a villa,en una villa
40,Stanza vista in prospettiva centrale. Pareti di colore rosa carico. Pavimento a scacchi. Al centro della parete di fondo campeggia un orologio a pendolo.,"A room seen from a central perspective, walls of deep pink, checkered floor, a pendulum clock on the back wall.",InteriorRegal,40_sprite,40_HDR,"Bene, siamo in una bellissima stanza regale.",7.3,"Well, we are in a beautiful royal room. In the middle of the scene, an object",,in una villa,in a villa,en una villa
41,"Interno di grotta con pertugio che guarda verso il mare aperto, dove si nota uno scoglio isolato. Il cielo è nuvoloso e il mare spumoso. All'interno della grotta si vedono riflessi di luce dorata.","Interior of a cave with a hole looking out to the sea. The sky is cloudy, the sea is foamy. Inside the cave there's reflections of golden light.",Sinister,41_sprite,41_HDR,Ok. Siamo in una grotta.,9.1,We are in a cave. At the center you see an object.,,in una grotta,in a cave,en una cueva
44,Ingresso al circo con varco protetto da un tendaggio rosso.,"Three entrances to the circus, with red curtains around them.",Festive,44_sprite,44_HDR,"Allora, siamo al circo!",6.7,"So we are at the circus, and in the middle of the scene there is an object, ok?",,al circo,at the circus,en el circo
45,Ampio fossato con ponte che unisce un torrione al castello.,A wide canal with a bridge on top connecting a tower to a castle.,UrbanAndVillageScenery,45_sprite,45_HDR,Eccoci. Che bell'edificio. Osservatelo.,9.1,"Here we are. What a beautiful building. Look at it. And look at the center is an object, ok?",,in un castello,in a castle,en un castillo
46,"Stanza vista in prospettiva centrale dominata da un grande camino. Nel soffitto si vedono travi grezze, sotto l'intonaco si intravedono i mattoni.","A humble room, dominated by a large fireplace, with rough beams o nthe ceiling and some bricks showing on the wall",InteriorHumble,46_sprite,46_HDR,"Bene, salve maschere. La scena si svolge all'interno, in una stanza con un gran camino.",10.7,"Hello masks! The scene takes place indoors, in a room with a large fireplace. In the middle, an object",,in una stanza,in a room,en una habitación
47,"Un'osteria. In una sala con colonne che reggono volte a crociera, si vedono un tavolo con sedie, una botte e una credenza. Attraverso un passaggio ad arco vi è l'accesso ad una scala per il piano superiore.","A large inn, with columns and arches, tables and chairs, and a big wine barrel at the other end of the room. A staircase to the upper floor is visible through the arched passage.",UrbanAndVillageScenery,47_sprite,47_HDR,"Bene. Siamo in osteria. Una grande osteria, viva, piena!",6,"Ok, we are in a tavern. Here you see an object, ok?",,in osteria,in an inn,en una posada
48,"Sala dal soffitto con stucchi decorativi, colonne con specchiature verdi, pavimento a scacchi. Nel fondo si apre una porta con tendaggio. Da una finestra a sinistra la luce del sole si proietta sul pavimento.","A regal room with a stucco ceiling, columns with green mirrors, and checkered floor. In the back there is a door with a curtain. The sunlight is projected onto the floor from a window on the left.",InteriorRegal,48_sprite,48_HDR,"Maschere, in questa scena siete in una bella stanza, una stanza da signori.",9.1,"Ok, you are in a nice room, a gentleman's room. In the center you see an object.",,in una villa,in a villa,en una villa
50,"Al centro della scena, al vertice di una scalinata si trova il trono. A destra e a sinistra una fitta teoria di colonne e di basamenti con animali mitologici. Scena dai colori brillanti.","A brigh, colorful room, with a small staircase leading to a throne. On the right and left a dense series of columns and bases with mythological animals",InteriorRegal,50_sprite,50_HDR,"bene, la scena è ambientata in un posto molto speciale, con decorazioni orientalizzanti... insomma interpretate voi.",10.7,"Well, the scene is set in a very special place, with oriental decorations... you can interpret that. In the middle, an object...",,in un atrio,in an hall,en un pasillo
54,"Stanza vista in prospettiva centrale, piuttosto spoglia, con camino, un tavolo e una sedia.","A humble room seen in central perspective, rather bare, with a fireplace, a table and a chair.",InteriorHumble,54_sprite,54_HDR,"Allora, siamo in una stanza abbastanza semplice.. con un caminetto.",9.1,"So, we're in a pretty simple room, with a fireplace, and in the middle of the room is an object",,in una stanza,in a room,en una habitación
55,"Veduta di prospetto di un edificio, con pronao a quattro colonne e timpano, che occupa il lato di una piazza.","View of a square with buildings. At the center, the front of a tall building with four tall columns and large steps.",UrbanAndVillageScenery,55_sprite,55_HDR,"Eccoci, partiamo dalla scena. Siamo in piazza.",9.1,"Ok, let's start from the scene, we are in a square, and in the middle of the scene you can see a prop.",,in piazza,in a square,en una plaza
57,"Entrata delle prigioni, si nota sulla destra la discesa dal castello. Su una piccola scalinata una finestra con grata e una porta. Al centro una colonna sorregge le volte.","Entrance to a prison, with a central column supporting the vaults in the center. On the the right, a locked door leading to the castle. On a small staircase a small wooden door. ",Sinister,57_sprite,57_HDR,"Allora, siamo in una prigione.",7.3,We are in a prison. Here in the middle of the scene you see an object. Ok.,,in una prigione,in a prison,en una prisión
59,L'arena del circo con tre ordini di stalli per gli spettatori.,"A circus arena, with three tiers of specators stalls.",Festive,59_sprite,59_HDR,"Allora. Ci troviamo in una grande arena. Molta gente! E qua in mezzo, un oggetto.  ok?",9.1,"So. We are in a big arena. Lots of people! And here in the middle, an object. OK?",,al circo,at the circus,en el circo
64,"Stanza umile con scala all'ingresso, arredata solo con un tavolo e una sedia.","A humble room with a staircase at the entrance, furnished only with a table and a chair.",InteriorHumble,64_sprite,64_HDR,Eccoci. Che tristezza sta stanza eh..?,7.3,Here we are. How sad is this room... And in the middle of the scene is a prop.,,in una stanza,in a room,en una habitación
65,Interno di una cella con due finestre. Nella parete sinistra una mensola con una brocca.,The interior of a cell with two windows. On the left wall a shelf with a jug.,Sinister,65_sprite,65_HDR,"Allora, siamo in una prigione.",7.3,We are in a prison. Here in the middle of the scene you see an object. Ok.,,in una cella,in a cell,en una celda
66,"Siamo al circo, c'é una grande faccia gioco, con occhi gialli e bocca aperta, circondata dalle fiamme. ","We are at the circus, there is a large toy face with yellow eyes and an open mouth, surrounded by flames!",Festive,66_sprite,66_HDR,"Eccoci. Allora siamo di nuovo al circo, il posto perfetto per voi due.",9.1,"Here we are. So we are back at the circus, the perfect place for you two. In the middle of the scene, an object...",,al circo,at the circus,en el circo
67,Ingresso di una prigione con colonne squadrate che reggono le volte.,"Entrance to a prison with square columns that support the vaults. On the right, an opened door..",Sinister,67_sprite,67_HDR,"Allora, siamo in una prigione.",7.3,We are in a prison. Here in the middle of the scene you see an object. Ok.,,in una prigione,in a prison,en una prisión
71,In secondo piano si trovano alcune case vicino ad un lago montano che si intravede dietro una cortina di alberi.,"A mountain scene. There is a house near a mountain lake, and a forest of green trees behind the house.",OutdoorNature,71_sprite,71_HDR,Cominciamo. Siamo in bassa montagna. Guardate che bel paesaggio.,7.3,"Let's start. We are by some low mountains. Look at the beautiful landscape. In the middle of the scene, an object..",,in montagna,in the mountains,en las montañas
72,Semplici tombe sono allineate ai lati del vialetto del cimitero. Nel fondo si vede il muro col cancello e alcuni cipressi.,"Some simple looking graves line the sides of the cemetery driveway. In the background, a gated wall and some cypress trees.",Sinister,72_sprite,72_HDR,Eccoci. Guardiamoci intorno - una scena piuttosto sinistra.,10.7,Here we are. Let's look around - a rather sinister scene. In the middle you see an object,,al cimitero,at the cemetery,en el cementerio
73,"Vista di Piazza San Marco verso la laguna, con le colonne che reggono rispettivamente il leone di San Marco e la staua di San Giorgio e il drago. Al di là della laguna, l'isola di San Giorgio e la Giudecca.","A view of Piazza San Marco in Venice, opening towards the lagoon, with the columns supporting a lion of and a defeated dragon. Across the lagoon, the island of San Giorgio.",UrbanAndVillageScenery,73_sprite,73_HDR,"Iniziamo. La scena è a Piazza San Marco, coi leoni e la laguna.",10.7,"Let's begin. The scene is in Piazza San Marco, with the lions and the lagoon. In the middle you see an object, ok?",,a Venezia,in Venice,en Venecia
74,"Una stanza arredata con una cassapanca e un panchetto, su cui si trovano una brocca e un fiasco. Ad un chiodo nella parete è appeso un indumento blu. Nella parete di fondo la finestra ha un vetro rotto e fra freschino.","A room furnished with a chest and a stool, on which are a jug and a flask. A blue garment hangs on a nail in the wall. On the back wall the window has a broken pane and is a bit chilly.",InteriorHumble,74_sprite,74_HDR,"Ok iniziamo.. Siamo in una stanza umile, un po' fredda, con una finestra rotta, una giacca blu appesa. Insomma una fetenzia. ",10.7,"Ok, we are in a humble room, a little cold, with a broken window. In the middle is an object...",,in una stanza,in a room,en una habitación
75,"Piazza con una chiesa, un edificio giallo a sinistra e uno azzurro a destra.","A calm square with a church, a yellowish building on the left, and a light blue one on the right.",UrbanAndVillageScenery,75_sprite,75_HDR,"Eccoci, partiamo dalla scena. Siamo in piazza.",9.1,"Ok, let's start from the scene, we are in a square, and in the middle of the scene you can see a prop.",,in piazza,in a square,en una plaza
76,Grotta o miniera. Nel fondo si vede un piccolo passaggio.,"A mine, and at the bottom, in the back, there's a small passage.",Sinister,76_sprite,76_HDR,Ok. Siamo in una grotta.,6.7,We are in a cave. At the center you see an object.,,in una miniera,in a mine,en una mina
77,Grotta con laghetto sotterraneo o forse grotta costiera in cui si insinua il mare.,"A cave with an underground lake, and sharp rocks resembling teeth.",Sinister,77_sprite,77_HDR,"Bene iniziamo dalla scena, immedesimatevi. É alquanto strana. E guardate l'oggetto al centro. Ok?",10.7,"Well, let's start with the scene, immerse yourselves. It's quite strange. In the center of the scene, an object. Ok?",,in una grotta,in a cave,en una cueva
78,Castello con mura merlate e torrioni.,"A castle, in the desert, with cracked walls and towers.",OutdoorNature,78_sprite,78_HDR,Bene iniziamo dalla scena. Immedesimatevi. É alquanto strana.,10.7,"Well, let's start with the scene, immerse yourselves. It's quite strange. In the center of the scene, an object. Ok?",,in un castello,in a castle,en un castillo
79,"A sinistra è raffigurata parte di una casa. Dalla casa parte un muretto con cancello che dà accesso a una carraia. A destra, dietro il muretto un albero si protende verso il centro della scena.","An organge brick house in the countryside. From the house a low wall with a gate extens, with a small road behind and a tree on the right.",UrbanAndVillageScenery,79_sprite,79_HDR,Cominciamo. Siamo in bassa montagna. Guardate che bel paesaggio.,7,"Let's start. We are by some low mountains. Look at the beautiful landscape. In the middle of the scene, an object..",,in campagna,in the countryside,en el campo
80,A destra è raffigurato lo scorcio di un castello con mura merlate. Nello sfondo si vede uno specchio di mare delimitato da un promontorio in fondo al quale si erge un faro.,"A sea bordered by a promontory, at the end of which stands a lighthouse. On the right, in the front, there's a glimpse of a castle with crenellated walls.",OutdoorNature,80_sprite,80_HDR,"Bene, siamo al mare, una bella scena.",6.2,"Nice, we are on the seaside, a nice scene. Here on stage is an object...",,al mare,at the sea,en el mar
81,"Stanza dalle pareti azzurre. Nella parete di fondo una porta con specchiature verdi. Nella stanza non ci sono mobili, alle pareti sono appesi due quadri e uno specchio.","A regal room with blue walls. On the back wall a door with green mirrors. There is no furniture in the room, two paintings and a mirror hang on the walls.",InteriorRegal,81_sprite,81_HDR,"Maschere, in questa scena siete in una bella stanza, una stanza da signori.",10.7,"Ok, you are in a nice room, a gentleman's room. In the center you see an object",,in una villa,in a villa,en una villa
82,A destra si vede Palazzo Re Enzo e in fondo le due torri.,We are in Bologna. View of a square with the two towers in the background.,UrbanAndVillageScenery,82_sprite,82_HDR,Ok iniziamo... Siamo in Piazza Maggiore! a casa nostra.,9.1,"Ok we are in.... Piazza Maggiore! Our home. In the middle of the scene, an object",,in piazza,in a square,en una plaza
83,Veduta del colle della Guardia col Santuario di San Luca e di una parte del portico che da Bologna conduce al Santuario.,"View of Bologna's hill where the famous Sanctuary of San Luca stands, and the portico that leads to it.",UrbanAndVillageScenery,83_sprite,83_HDR,Ahh… Siamo a San Luca!,7.3,"Ok, we are in San Luca, and in the middle of the scene is an object...",,a Bologna,in Bologna,en Bolonia
86,Un viottolo si inoltra nella campagna passando in mezzo ad alcuni cipressi. Nello sfondo un paesaggio collinare. Il cielo ha una sfumatura rosata di alba o tramonto.,"A serene view of a small path in the countryside, passing between cypress trees. In the background hillds. The sky is pink, at dusk.",OutdoorNature,86_sprite,86_HDR,Cominciamo. Siamo in bassa montagna. Guardate che bel paesaggio.,7.3,"Let's start. We are by some low mountains. Look at the beautiful landscape. In the middle of the scene, an object..",,in campagna,in the countryside,en el campo
87,"Veduta di piazza Maggiore con Palazzo d'Accursio con l'orologio, il Palazzo de' Notai e la scalinata di San Petronio.","Bologna, view of a Piazza Maggiore with the infamous palaces around it, and the steps of its large church",UrbanAndVillageScenery,87_sprite,87_HDR,Ok iniziamo... Siamo in Piazza Maggiore! a casa nostra.,9.1,"Ok we are in.... Piazza Maggiore! Our home. In the middle of the scene, an object",,in piazza,in a square,en una plaza
91,Piazza su cui danno edifici dai muri rosa e ocra. Nel fondo porta di città con mura merlate e torre con orologio.,"A square overlooked by buildings with pink and ochre walls. In the background, a city gate, and a clock tower.",Festive,91_sprite,91_HDR,"Bene, iniziamo. Siamo in una piazzetta, con dei bei muri rosa e una torre con l'orologio. Al centro, un oggetto.  ok?",9.1,"Okay, let's start. We are in a little square, with nice pink walls and a clock tower. In the center, an object.",,in piazza,in a square,en una plaza
96,Su di un'altura si vede un castello con torri e bifore.,"In the mountains, on a hill is a castle with towers, windows and a tiny road leading to it.",OutdoorNature,96_sprite,96_HDR,Cominciamo. Siamo in bassa montagna. Guardate che bel paesaggio.,7.3,"Let's start. We are by some low mountains. Look at the beautiful landscape. In the middle of the scene, an object..",,in montagna,in a mountain,en una montaña
98,Interno di cascina con bucato steso.,Interior of a farmhouse with laundry hanging out to dry.,OutdoorNature,98_sprite,98_HDR,"Eccoci. Questa scena é in una cascina, e qualcuno ha steso il bucato.",10.7,"Here we are. This scene is in a farmhouse, and someone has hung the laundry. Look in the middle, you see, there's something else...",,in una cascina,in a farmhouse,en una casa de campo
99,"Nella stanza si vedono un cassettone con specchio, un camino acceso e un dipinto col volto di Cristo.","A room with a chest of drawers, a lit fireplace and a painting of the face of Jesus.",InteriorHumble,99_sprite,99_HDR,Eccoci. Che tristezza sta stanza eh..?,7.1,Here we are. How sad is this room... And in the middle of the scene is a prop.,,in una sala,in a hall,en una salón
101,Una chiesa sulla riva di un fiume attraversato da un ponticello. Una stradina separa la chiesa da un borgo. Nello sfondo una rupe con una rocca.,"A church on the bank of a mountain river, crossed by a small bridge. A small road separates the church from a mountain village. In the background a cliff with a fortress.",OutdoorNature,101_sprite,101_HDR,Cominciamo. Siamo in bassa montagna. Guardate che bel paesaggio.,7.1,"Let's start. We are by some low mountains. Look at the beautiful landscape. In the middle of the scene, an object..",,in montagna,in the mountains,en las montañas
102,Veduta di piazza dall'angolo di un portico. Nel lato più lontano della piazza inizia una strada in fondo alla quale si vede lo scorcio di una chiesa.,"A square seen from underneath a portico. On the far side of the square begins a road, and behind it the glimpse of a church.",UrbanAndVillageScenery,102_sprite,102_HDR,"Eccoci, partiamo dalla scena. Siamo in piazza.",9.1,"Ok, let's start from the scene, we are in a square, and in the middle of the scene you can see a prop.",,in piazza,in a square,en una plaza
105,Un giardino chiuso con un elaborato cancello. Al centro della scena una vasca circolare con una statuetta al centro.,"A villa garden, enclosed by an elaborate gate. In the center of the scene, a fancy fountain with a statuette.",OutdoorNature,105_sprite,105_HDR,"Allora, studiamo la scena. Un giardino con cancello, fontana. E qua in mezzo, un oggetto. ok?",10.7,"So, let's study the scene. A garden with a gate, a fountain., and in the middle, an object",,in giardino,in a garden,en un jardín
106,"Veduta notturna di castello con mura merlate e torri, circondato da fossato e con ponte levatoio all'ingresso","Serene night view of a castle with walls and towers, surrounded by a small canal, and with a drawbridge at the entrance",Night,106_sprite,106_HDR,Allora in questa scena c'é un castello circondato da un fossato. Ok? Ok.,10.7,"So in this scene there is a castle surrounded by a canal. And in the middle of the scene, there is....",,in un castello,in a castle,en un castillo
107,Cucina con camino e acquaio arredata con vari suppellettili e una panca.,"A humble kitchen with a fireplace and sink, and a bench.",InteriorHumble,107_sprite,107_HDR,"Allora, vi trovate in una cucina, semplice ma attrezzata. E qua in mezzo, un oggetto.  ok?",10.7,"So, you are in a kitchen, simple but equipped. And here in the middle, an object. Ok?",,in cucina,in the kitchen,en la cocina
